*Product Category,*product Brand,*Product Unit,*Product Name,Purchases Price,Retail Price,Whole Price
Empty Cylinder,JAMUNA,KG,12,500,,
Refill ,JAMUNA,KG,12,900,,
Empty Cylinder,JAMUNA,KG,5.5,300,,
Refill ,JAMUNA,KG,5.5,360,,
Empty Cylinder,JAMUNA,KG,35,1500,,
Refill ,JAMUNA,KG,35,2500,,
Empty Cylinder,JAMUNA,KG,45,2300,,
Refill ,JAMUNA,KG,45,3170,,
Empty Cylinder,OMERA,KG,12,500,,
Refill ,OMERA,KG,12,900,,
Empty Cylinder,OMERA,KG,5.5,300,,
Refill ,OMERA,KG,5.5,360,,
Empty Cylinder,OMERA,KG,35,1500,,
Refill ,OMERA,KG,35,2500,,
Empty Cylinder,OMERA,KG,45,2300,,
Refill ,OMERA,KG,45,3170,,
Empty Cylinder,BM,KG,12,500,,
Refill ,BM,KG,12,900,,
Empty Cylinder,BM,KG,33,1500,,
Refill ,BM,KG,33,2370,,
Empty Cylinder,BM,KG,45,2300,,
Refill ,BM,KG,45,3170,,
Empty Cylinder,TOTAL,KG,12,500,,
Refill ,TOTAL,KG,12,900,,
Empty Cylinder,TOTAL,KG,15,700,,
Refill ,TOTAL,KG,15,1115,,
Empty Cylinder,TOTAL,KG,33,1500,,
Refill ,TOTAL,KG,33,2375,,
Empty Cylinder,TOTAL,KG,45,2300,,
Refill ,TOTAL,KG,45,3170,,
Empty Cylinder,PETROMAX,KG,12,500,,
Refill ,PETROMAX,KG,12,900,,
Empty Cylinder,PETROMAX,KG,35,1500,,
Refill ,PETROMAX,KG,35,2500,,
Empty Cylinder,PETROMAX,KG,45,2300,,
Refill ,PETROMAX,KG,45,3170,,
Empty Cylinder,PADMA,KG,12,500,,
Refill ,PADMA,KG,12,900,,
Empty Cylinder,PADMA,KG,35,1500,,
Refill ,PADMA,KG,35,2500,,
Empty Cylinder,SENA,KG,12,500,,
Refill ,SENA,KG,12,900,,
Empty Cylinder,SENA,KG,35,1500,,
Refill ,SENA,KG,35,2500,,
Empty Cylinder,SENA,KG,45,2300,,
Refill ,SENA,KG,45,3170,,
Empty Cylinder,G-Gas,KG,12,500,,
Refill ,G-Gas,KG,12,900,,
Empty Cylinder,G-Gas,KG,35,1500,,
Refill ,G-Gas,KG,35,2500,,
Empty Cylinder,G-Gas,KG,45,2300,,
Refill ,G-Gas,KG,45,3170,,
Empty Cylinder,ORION,KG,12,500,,
Refill ,ORION,KG,12,900,,
Empty Cylinder,ORION,KG,35,1500,,
Refill ,ORION,KG,35,2500,,
Empty Cylinder,ORION,KG,45,2300,,
Refill ,ORION,KG,45,3170,,
Empty Cylinder,NAVANA,KG,12,500,,
Refill ,NAVANA,KG,12,900,,
Empty Cylinder,NAVANA,KG,35,1500,,
Refill ,NAVANA,KG,35,2500,,
Empty Cylinder,NAVANA,KG,45,2300,,
Refill ,NAVANA,KG,45,3170,,
Empty Cylinder,PROMITA,KG,12,500,,
Refill ,PROMITA,KG,12,900,,
Empty Cylinder,PROMITA,KG,35,1500,,
Refill ,PROMITA,KG,35,2500,,
Empty Cylinder,PROMITA,KG,45,2300,,
Refill ,PROMITA,KG,45,3170,,
Empty Cylinder,Eurogas,KG,12,500,,
Refill ,Eurogas,KG,12,900,,
Empty Cylinder,Eurogas,KG,35,1500,,
Refill ,Eurogas,KG,35,2500,,
Empty Cylinder,Eurogas,KG,45,2300,,
Refill ,Eurogas,KG,45,3170,,
Empty Cylinder,BOSUNDHARA,KG,12,500,,
Refill ,BOSUNDHARA,KG,12,900,,
Empty Cylinder,BOSUNDHARA,KG,35,1500,,
Refill ,BOSUNDHARA,KG,35,2500,,
Empty Cylinder,BOSUNDHARA,KG,45,230,,
Refill ,BOSUNDHARA,KG,45,3170,,
Empty Cylinder,BIN Habib,KG,12,500,,
Refill ,BIN Habib,KG,12,900,,
Empty Cylinder,BIN Habib,KG,35,1500,,
Refill ,BIN Habib,KG,35,2500,,
Empty Cylinder,BIN Habib,KG,45,2300,,
Refill ,BIN Habib,KG,45,3170,,
Empty Cylinder,Newaz ,KG,12,500,,
Refill ,Newaz ,KG,12,900,,
Empty Cylinder,Newaz ,KG,35,1500,,
Refill ,Newaz ,KG,35,2500,,
Empty Cylinder,Newaz ,KG,45,2300,,
Refill ,Newaz ,KG,45,3170,,
Empty Cylinder,Laughfs,KG,12,500,,
Refill ,Laughfs,KG,12,900,,
Empty Cylinder,Laughfs,KG,35,1500,,
Refill ,Laughfs,KG,35,2500,,
Empty Cylinder,Laughfs,KG,45,2300,,
Refill ,Laughfs,KG,45,3170,,
Empty Cylinder,JMI,KG,12,500,,
Refill ,JMI,KG,12,900,,
Empty Cylinder,JMI,KG,35,1500,,
Refill ,JMI,KG,35,2500,,
Empty Cylinder,JMI,KG,45,2300,,
Refill ,JMI,KG,45,3170,,
Empty Cylinder,TK-Super,KG,12,500,,
Refill ,TK-Super,KG,12,900,,
Empty Cylinder,TK-Super,KG,35,1500,,
Refill ,TK-Super,KG,35,2500,,
Empty Cylinder,TK-Super,KG,45,2300,,
Refill ,TK-Super,KG,45,3170,,
Empty Cylinder,Delta,KG,12,500,,
Refill ,Delta,KG,12,900,,
Empty Cylinder,Delta,KG,35,1500,,
Refill ,Delta,KG,35,2500,,
Empty Cylinder,Delta,KG,45,2300,,
Refill ,Delta,KG,45,3170,,
Empty Cylinder,Pettry,KG,12,500,,
Refill ,Pettry,KG,12,900,,
Empty Cylinder,Pettry,KG,35,1500,,
Refill ,Pettry,KG,35,2500,,
Empty Cylinder,Pettry,KG,45,2300,,
Refill ,Pettry,KG,45,3170,,
Burner,SBL,Pcs,Auto double,2200,,
Burner,SBL,Pcs,Auto single,800,,
Burner,SBL,Pcs,Normal(double),800,,
Burner,SBL,Pcs,Normal(Single),375,,
Hosepipe,RFL,Pcs,".5""",350,,
Regulator,UNISTAR,Pcs,20mm (Normal),100,,
Regulator,UNISTAR,Pcs,20mm Hihg-pressure,100,,
Regulator,UNISTAR,Pcs,22mm (Normal),120,,
Regulator,UNISTAR,Pcs,22mm High-pressure,200,,
Regulator,UNISTAR,Pcs,Regulator Set,200,,
